ID,Approved
APPA70109647212,0.006436724
APPB10687939341,0.022955526
APPC80449411414,0.005771565
APPD30665094501,0.005771565
APPE80379821637,0.006886683
APPF90611935733,0.005911823
APPG20993415813,0.032517735
APPH30656456927,0.00664261
APPI70297912043,0.014336279
APPJ50119937105,0.026028725
APPK30106042233,0.005403481
APPL40962417345,0.006896007
APPM90265624408,0.005771565
APPN80816878501,0.008918276
APPO80036467625,0.005771565
APPP70300016724,0.011248973
APPQ20714935844,0.034135931
APPR10725816917,0.015557309
APPT80995817106,0.005771565
APPU10455032232,0.005952751
APPV20523998348,0.005771565
APPW70096327441,0.010412719
APPX50146048546,0.008160909
APPY80200205609,0.006448941
APPZ70268239711,0.04235666
APPB10908859928,0.006896007
APPC60646419006,0.005771565
APPD70986505145,0.005403481
APPE40974536227,0.005771565
APPF80212605331,0.010176965
APPG70118514422,0.034399873
APPH60330147508,0.005771565
APPI70857836611,0.006896007
APPL20333186904,0.03281438
APPM70580221014,0.008055141
APPN30606238135,0.025144017
APPQ60782014415,0.032881015
APPT80140966721,0.010477519
APPU80930365832,0.005975701
APPV80124518928,0.005771565
APPW90476067036,0.005771565
APPX90531514107,0.010842476
APPY80613652222,0.017806041
APPA60775566448,0.014440608
APPC70771774625,0.018424212
APPF80168055929,0.006456677
APPG50757073027,0.032167697
APPH30859115106,0.005952751
APPJ10885387332,0.032856557
APPK40949346408,0.010244944
APPL60776142522,0.099913708
APPN50729023734,0.005403481
APPP70407207923,0.032422566
APPR40227782118,0.093304013
APPV80504514517,0.006838719
APPW80566048613,0.005771565
APPX80187469727,0.006403015
APPZ30260508907,0.006896007
APPA50518171015,0.030836324
APPB40882474103,0.007512726
APPC60427976226,0.017856352
APPD90513037337,0.016409831
APPG50800243623,0.072452925
APPH10433332748,0.008007663
APPI40348921805,0.010176965
APPJ80439618906,0.005771565
APPK30634359001,0.005771565
APPL40047305118,0.043584377
APPM70985326241,0.00604151
APPN20760216327,0.006896007
APPO10519239445,0.006896007
APPP70822536506,0.006896007
APPQ10182368643,0.005834205
APPR30764178704,0.008095411
APPS60446465843,0.019639957
APPT20264132924,0.005403481
APPV90184745108,0.019763846
APPX70050373318,0.005771565
APPY80240353432,0.025037278
APPZ80848953507,0.026028725
APPD10500401933,0.005952751
APPE10200701029,0.05767731
APPF90094523116,0.007125453
APPG60519369247,0.032881015
APPH70673564343,0.005771565
APPI10312387415,0.011248973
APPJ20310967521,0.006037919
APPK80886344639,0.006838719
APPM60863037811,0.032850333
APPN50560289924,0.03281438
APPO70832217022,0.011984251
APPP60583131103,0.034867199
APPR30748409317,0.008602294
APPS10305693407,0.005771565
APPT10792153527,0.010176965
APPU80979985636,0.010252637
APPW90127018832,0.006463986
APPX40629447906,0.053962963
APPZ20101292145,0.006456677
APPB10848417338,0.005826655
APPC40239663433,0.006758804
APPD20097051518,0.024933184
APPE50963262622,0.014068716
APPF90075697702,0.045286275
APPH10711077908,0.010002917
APPI90021288035,0.005771565
APPJ80748148121,0.005771565
APPK10288641218,0.009622978
APPL90732086337,0.005573177
APPM70990842401,0.006646088
APPN80617857512,0.005771565
APPO50383745617,0.005771565
APPP60172178734,0.005771565
APPR10764977942,0.044477726
APPT10480648139,0.02005782
APPU60453258232,0.010788141
APPX90855367529,0.023687364
APPY50250927615,0.005771565
APPZ70422039734,0.006896007
APPA30393886847,0.013508197
APPB50127764908,0.005771565
APPC10119469018,0.012392761
APPD90858748146,0.005771565
APPE30664988236,0.019811032
APPF20625877301,0.010639415
APPH30151345509,0.005403481
APPI50441679612,0.005771565
APPJ30361269731,0.044388669
APPL80614874904,0.005771565
APPM50228117025,0.029813237
APPN70012683119,0.008431431
APPO90770468211,0.010500289
APPP10156766334,0.008602294
APPQ40631778427,0.005771565
APPR70506299542,0.044344492
APPS70665146644,0.014233043
APPT70349004743,0.010866666
APPU30993402848,0.024938968
APPW20622431049,0.005771565
APPY20361501233,0.019069382
APPZ10238963306,0.021798964
APPA30874904437,0.008055141
APPB80692747529,0.033303128
APPC30041629643,0.005771565
APPD30315929734,0.010866666
APPE10332383835,0.005771565
APPF50037929916,0.027152846
APPG10834503041,0.02503915
APPH40967627122,0.010505795
APPI70312298206,0.005771565
APPJ70743728327,0.008613207
APPK30679331423,0.032856557
APPL60294817522,0.005771565
APPM80605571641,0.005573177
APPO70732754849,0.008715183
APPR90083345128,0.022451653
APPS40024724225,0.005771565
APPT10406402302,0.045286275
APPU60142311444,0.016371566
APPX40155362702,0.005771565
APPY80690085843,0.014304478
APPZ20729429941,0.005403481
APPA30531058029,0.093433167
APPB80250096128,0.005403481
APPC40216184236,0.01545504
APPE30598585445,0.005573177
APPF10464165547,0.005771565
APPG20162638632,0.032493539
APPH90167759721,0.006896007
APPK10401968049,0.006886683
APPL80146029119,0.005771565
APPM80613619234,0.008935237
APPN70433746315,0.005771565
APPQ50809898611,0.024986128
APPR30401199701,0.032881015
APPT30401057907,0.005771565
APPU40338646029,0.008718398
APPV90359067103,0.020397876
APPW10851598244,0.012327511
APPX40611544343,0.005771565
APPZ50667726527,0.022062746
APPA60969495628,0.006403015
APPB10846839717,0.005771565
APPD70004475949,0.005771565
APPE10769524014,0.021421824
APPF20373584102,0.006220999
APPG80309102235,0.057877768
APPH70805423317,0.019161737
APPI30449607434,0.008583101
APPK40305944614,0.006702649
APPM80631303825,0.011357218
APPN30539354908,0.005911823
APPO30398314007,0.043000398
APPP10295059142,0.03281438
APPQ40182527233,0.011803295
APPR30592087313,0.005403481
APPS10451308445,0.013970744
APPT20436718504,0.005771565
APPV10000594728,0.011357218
APPW70591476837,0.044344492
APPX90545539932,0.005771565
APPZ20555868104,0.016983149
APPB50601165302,0.032881015
APPC20734091446,0.008542097
APPD30922661508,0.005771565
APPG30388623817,0.024950752
APPI50436511029,0.005952751
APPK40504961223,0.010734327
APPL10249834346,0.005403481
APPM10566295434,0.007158218
APPN20971698507,0.008602294
APPQ40557318821,0.006723453
APPR10411907921,0.005771565
APPS60110651012,0.01976727
APPT90980498131,0.044188707
APPU30110017218,0.014544802
APPW20800678439,0.005952751
APPY20781789607,0.005771565
APPA50891789808,0.006866805
APPB30105755939,0.006037919
APPC10078523014,0.006902373
APPD10297832113,0.005834205
APPF10931767336,0.007448478
APPG80133423412,0.019786153
APPH30423329507,0.03281438
APPI70671544622,0.00993522
APPJ70709397705,0.005771565
APPK30507806814,0.007411335
APPL20563609928,0.005771565
APPN60526055126,0.005771565
APPO60496324234,0.005778908
APPP90372528312,0.034327694
APPQ50563508447,0.005771565
APPR60834219523,0.060227903
APPS90066401613,0.008055141
APPT60413282714,0.032355111
APPU80357653811,0.009309897
APPV50558107929,0.032297083
APPW80305276026,0.00674538
APPX40140715111,0.005594671
APPY80579525228,0.026028725
APPA60414888433,0.006037919
APPB90587842501,0.011372191
APPC40254714615,0.027426127
APPD90427937716,0.009529855
APPE40482289843,0.011832545
