ID,Approved
APPA70109647212,0.007316202
APPB10687939341,0.014491101
APPC80449411414,0.006977285
APPD30665094501,0.006912852
APPE80379821637,0.006961064
APPF90611935733,0.007025944
APPG20993415813,0.017697859
APPH30656456927,0.007254692
APPI70297912043,0.023048473
APPJ50119937105,0.02325978
APPK30106042233,0.006977285
APPL40962417345,0.007316202
APPM90265624408,0.006409404
APPN80816878501,0.013527534
APPO80036467625,0.006912852
APPP70300016724,0.013368527
APPQ20714935844,0.019111818
APPR10725816917,0.014223161
APPT80995817106,0.006469175
APPU10455032232,0.007316202
APPV20523998348,0.006469175
APPW70096327441,0.014626177
APPX50146048546,0.006783579
APPY80200205609,0.007384367
APPZ70268239711,0.030880511
APPB10908859928,0.007384367
APPC60646419006,0.006409404
APPD70986505145,0.006469175
APPE40974536227,0.006977285
APPF80212605331,0.01237165
APPG70118514422,0.0217528
APPH60330147508,0.006409404
APPI70857836611,0.007465367
APPL20333186904,0.025064281
APPM70580221014,0.01212565
APPN30606238135,0.02356556
APPQ60782014415,0.023048473
APPT80140966721,0.013527534
APPU80930365832,0.006495136
APPV80124518928,0.006409404
APPW90476067036,0.006912852
APPX90531514107,0.012543974
APPY80613652222,0.023758454
APPA60775566448,0.013580451
APPC70771774625,0.012660225
APPF80168055929,0.006846816
APPG50757073027,0.023510797
APPH30859115106,0.006783579
APPJ10885387332,0.02325978
APPK40949346408,0.013162793
APPL60776142522,0.152912427
APPN50729023734,0.006409404
APPP70407207923,0.019187278
APPR40227782118,0.123265928
APPV80504514517,0.007384367
APPW80566048613,0.006912852
APPX80187469727,0.007316202
APPZ30260508907,0.007316202
APPA50518171015,0.017250483
APPB40882474103,0.009266467
APPC60427976226,0.012987382
APPD90513037337,0.02325978
APPG50800243623,0.065732876
APPH10433332748,0.006783579
APPI40348921805,0.013337137
APPJ80439618906,0.006469175
APPK30634359001,0.006977285
APPL40047305118,0.034255026
APPM70985326241,0.006587667
APPN20760216327,0.007316202
APPO10519239445,0.006846816
APPP70822536506,0.006783579
APPQ10182368643,0.007572584
APPR30764178704,0.010785757
APPS60446465843,0.006409404
APPT20264132924,0.006977285
APPV90184745108,0.01319906
APPX70050373318,0.006912852
APPY80240353432,0.014228188
APPZ80848953507,0.023048473
APPD10500401933,0.007384367
APPE10200701029,0.048696488
APPF90094523116,0.007483043
APPG60519369247,0.02325978
APPH70673564343,0.006409404
APPI10312387415,0.012400797
APPJ20310967521,0.006846816
APPK80886344639,0.007384367
APPM60863037811,0.047867464
APPN50560289924,0.02325978
APPO70832217022,0.02405287
APPP60583131103,0.022121704
APPR30748409317,0.01212565
APPS10305693407,0.006977285
APPT10792153527,0.012486324
APPU80979985636,0.007178392
APPW90127018832,0.007552083
APPX40629447906,0.057886313
APPZ20101292145,0.007316202
APPB10848417338,0.007585962
APPC40239663433,0.007021429
APPD20097051518,0.015194743
APPE50963262622,0.02325978
APPF90075697702,0.035959385
APPH10711077908,0.013072193
APPI90021288035,0.006409404
APPJ80748148121,0.006977285
APPK10288641218,0.006803221
APPL90732086337,0.006783579
APPM70990842401,0.007274596
APPN80617857512,0.006977285
